,Nom,Type,Pop21,Pop16,Km2,accroissement_population,Population_Cat21,Population_Cat16
130,Dixville,MÉ,732.0,696.0,76.56,5.172413793103448,Moins de 1000,Moins de 1000
131,East Hereford,MÉ,282.0,269.0,72.1,4.83271375464684,Moins de 1000,Moins de 1000
132,Martinville,MÉ,441.0,436.0,47.66,1.146788990825688,Moins de 1000,Moins de 1000
133,Saint-Herménégilde,MÉ,690.0,670.0,166.15,2.985074626865672,Moins de 1000,Moins de 1000
134,Saint-Malo,MÉ,514.0,475.0,131.83,8.210526315789474,Moins de 1000,Moins de 1000
135,Saint-Venant-de-Paquette,MÉ,69.0,97.0,58.75,-28.8659793814433,Moins de 1000,Moins de 1000
136,Stanstead-Est,MÉ,642.0,584.0,114.54,9.931506849315069,Moins de 1000,Moins de 1000
137,Grosse-Île,MÉ,464.0,465.0,32.28,-0.21505376344086022,Moins de 1000,Moins de 1000
138,Les Îles-de-la-Madeleine,MÉ,12190.0,12010.0,155.06,1.4987510407993339,plus de 10000,plus de 10000
139,La Visitation-de-l'Île-Dupas,MÉ,684.0,626.0,28.15,9.26517571884984,Moins de 1000,Moins de 1000
140,Lanoraie,MÉ,5134.0,4787.0,102.74,7.24879883016503,5000 à 9999,5000 à 9999
141,Mandeville,MÉ,2363.0,2189.0,318.21,7.948835084513476,1000 à 2499,1000 à 2499
142,Saint-Cléophas-de-Brandon,MÉ,254.0,227.0,15.34,11.894273127753303,Moins de 1000,Moins de 1000
143,Saint-Cuthbert,MÉ,1821.0,1862.0,131.72,-2.201933404940924,1000 à 2499,1000 à 2499
144,Saint-Gabriel-de-Brandon 5,MÉ,2684.0,2635.0,99.23,1.8595825426944972,2500 à 4999,2500 à 4999
145,Saint-Ignace-de-Loyola,MÉ,2048.0,2049.0,31.9,-0.04880429477794046,1000 à 2499,1000 à 2499
146,Sainte-Geneviève-de-Berthier,MÉ,2253.0,2280.0,67.03,-1.1842105263157894,1000 à 2499,1000 à 2499
147,Sainte-Élisabeth,MÉ,1390.0,1459.0,83.0,-4.729266620973269,1000 à 2499,1000 à 2499
148,Oka,MÉ,3968.0,3824.0,56.99,3.7656903765690375,2500 à 4999,2500 à 4999
149,Pointe-Calumet,MÉ,6281.0,6428.0,4.59,-2.286869943995022,5000 à 9999,5000 à 9999
150,Saint-Joseph-du-Lac,MÉ,7031.0,6687.0,41.22,5.144309854942426,5000 à 9999,5000 à 9999
151,Saint-Placide,MÉ,1784.0,1686.0,42.89,5.812574139976276,1000 à 2499,1000 à 2499
152,Durham-Sud,MÉ,1051.0,1043.0,92.64,0.7670182166826462,1000 à 2499,1000 à 2499
153,L'Avenir,MÉ,1350.0,1307.0,97.59,3.2899770466717673,1000 à 2499,1000 à 2499
154,Lefebvre,MÉ,925.0,904.0,66.18,2.3230088495575223,Moins de 1000,Moins de 1000
155,Saint-Bonaventure,MÉ,1066.0,1031.0,78.72,3.3947623666343354,1000 à 2499,1000 à 2499
156,Saint-Cyrille-de-Wendover,MÉ,4920.0,4723.0,110.2,4.171077704848613,2500 à 4999,2500 à 4999
157,Saint-Eugène,MÉ,1139.0,1126.0,75.84,1.1545293072824157,1000 à 2499,1000 à 2499
158,Saint-Félix-de-Kingsey,MÉ,1493.0,1430.0,126.28,4.405594405594406,1000 à 2499,1000 à 2499
159,Saint-Germain-de-Grantham,MÉ,4922.0,4917.0,87.47,0.1016880211511084,2500 à 4999,2500 à 4999
160,Saint-Guillaume,MÉ,1491.0,1476.0,87.91,1.016260162601626,1000 à 2499,1000 à 2499
161,Saint-Lucien,MÉ,1801.0,1647.0,110.99,9.350333940497874,1000 à 2499,1000 à 2499
162,Wickham,MÉ,2587.0,2541.0,98.63,1.810310901219992,2500 à 4999,2500 à 4999
163,Batiscan,MÉ,958.0,903.0,43.25,6.0908084163898115,Moins de 1000,Moins de 1000
164,Champlain,MÉ,1807.0,1735.0,58.17,4.14985590778098,1000 à 2499,1000 à 2499
165,Saint-Luc-de-Vincennes,MÉ,519.0,545.0,53.78,-4.770642201834862,Moins de 1000,Moins de 1000
166,Saint-Prosper-de-Champlain,MÉ,482.0,530.0,94.11,-9.056603773584905,Moins de 1000,Moins de 1000
167,Saint-Stanislas,MÉ,1001.0,1010.0,89.38,-0.8910891089108911,1000 à 2499,1000 à 2499
168,Sainte-Anne-de-la-Pérade,MÉ,2031.0,2019.0,109.28,0.5943536404160475,1000 à 2499,1000 à 2499
169,Crabtree,MÉ,4155.0,3958.0,25.06,4.977261243052046,2500 à 4999,2500 à 4999
170,Notre-Dame-de-Lourdes,MÉ,3141.0,2783.0,35.59,12.863816025871362,2500 à 4999,2500 à 4999
171,Saint-Ambroise-de-Kildare,MÉ,4090.0,3856.0,67.73,6.068464730290456,2500 à 4999,2500 à 4999
172,Saint-Paul,MÉ,6566.0,5891.0,49.11,11.458156509930403,5000 à 9999,5000 à 9999
173,Saint-Thomas,MÉ,3496.0,3249.0,94.57,7.60233918128655,2500 à 4999,2500 à 4999
174,Sainte-Mélanie,MÉ,3250.0,2989.0,76.1,8.732017397122783,2500 à 4999,2500 à 4999
175,Kamouraska,MÉ,607.0,616.0,44.07,-1.4610389610389611,Moins de 1000,Moins de 1000
176,Mont-Carmel,MÉ,1160.0,1127.0,428.26,2.9281277728482697,1000 à 2499,1000 à 2499
177,Rivière-Ouelle,MÉ,995.0,970.0,57.5,2.577319587628866,Moins de 1000,Moins de 1000
178,Saint-Alexandre-de-Kamouraska,MÉ,2255.0,2109.0,111.4,6.922712185870081,1000 à 2499,1000 à 2499
179,Saint-André-de-Kamouraska,MÉ,658.0,658.0,71.06,0.0,Moins de 1000,Moins de 1000
180,Saint-Bruno-de-Kamouraska,MÉ,515.0,541.0,188.44,-4.805914972273568,Moins de 1000,Moins de 1000
181,Saint-Denis-De La Bouteillerie,MÉ,518.0,517.0,33.84,0.19342359767891681,Moins de 1000,Moins de 1000
182,Saint-Gabriel-Lalemant,MÉ,660.0,716.0,77.92,-7.82122905027933,Moins de 1000,Moins de 1000
183,Saint-Onésime-d'Ixworth,MÉ,522.0,560.0,102.76,-6.785714285714286,Moins de 1000,Moins de 1000
184,Saint-Pacôme,MÉ,1806.0,1598.0,29.06,13.016270337922403,1000 à 2499,1000 à 2499
185,Sainte-Hélène-de-Kamouraska,MÉ,891.0,918.0,60.46,-2.9411764705882355,Moins de 1000,Moins de 1000
186,L'Islet,MÉ,3803.0,3827.0,119.95,-0.6271230729030572,2500 à 4999,2500 à 4999
187,Saint-Adalbert,MÉ,460.0,510.0,216.16,-9.803921568627452,Moins de 1000,Moins de 1000
188,Saint-Aubert,MÉ,1441.0,1474.0,98.45,-2.2388059701492535,1000 à 2499,1000 à 2499
189,Saint-Damase-de-L'Islet,MÉ,563.0,552.0,247.64,1.9927536231884058,Moins de 1000,Moins de 1000
190,Saint-Jean-Port-Joli,MÉ,3329.0,3407.0,69.31,-2.289404167889639,2500 à 4999,2500 à 4999
191,Saint-Marcel,MÉ,422.0,428.0,178.83,-1.4018691588785046,Moins de 1000,Moins de 1000
192,Saint-Omer,MÉ,294.0,277.0,122.44,6.137184115523466,Moins de 1000,Moins de 1000
193,Saint-Roch-des-Aulnaies,MÉ,955.0,917.0,49.14,4.143947655398037,Moins de 1000,Moins de 1000
194,Sainte-Félicité,MÉ,350.0,389.0,94.89,-10.025706940874036,Moins de 1000,Moins de 1000
195,Sainte-Perpétue,MÉ,1715.0,1639.0,291.04,4.636973764490543,1000 à 2499,1000 à 2499
196,Tourville,MÉ,576.0,589.0,164.36,-2.2071307300509337,Moins de 1000,Moins de 1000
197,Inverness,MÉ,910.0,899.0,176.11,1.2235817575083425,Moins de 1000,Moins de 1000
198,Laurierville,MÉ,1313.0,1346.0,107.91,-2.4517087667161963,1000 à 2499,1000 à 2499
199,Lyster,MÉ,1587.0,1605.0,167.55,-1.1214953271028036,1000 à 2499,1000 à 2499
200,Saint-Ferdinand,MÉ,2007.0,2076.0,137.16,-3.3236994219653178,1000 à 2499,1000 à 2499
201,Sainte-Sophie-d'Halifax,MÉ,595.0,612.0,92.13,-2.7777777777777777,Moins de 1000,Moins de 1000
202,Villeroy,MÉ,488.0,457.0,101.9,6.783369803063457,Moins de 1000,Moins de 1000
203,Saint-François-de-l'Île-d'Orléans,MÉ,536.0,527.0,28.96,1.7077798861480076,Moins de 1000,Moins de 1000
204,Saint-Jean-de-l'Île-d'Orléans,MÉ,1026.0,1059.0,43.48,-3.1161473087818696,1000 à 2499,1000 à 2499
205,Saint-Laurent-de-l'Île-d'Orléans,MÉ,1607.0,1532.0,35.64,4.89556135770235,1000 à 2499,1000 à 2499
206,Saint-Pierre-de-l'Île-d'Orléans,MÉ,1743.0,1993.0,31.64,-12.54390366281987,1000 à 2499,1000 à 2499
207,Sainte-Famille-de-l'Île-d'Orléans,MÉ,850.0,938.0,50.54,-9.381663113006397,Moins de 1000,Moins de 1000
208,Boischatel,MÉ,8231.0,7587.0,20.36,8.4882035059971,5000 à 9999,5000 à 9999
209,L'Ange-Gardien,MÉ,3842.0,3695.0,53.61,3.9783491204330175,2500 à 4999,2500 à 4999
210,Saint-Ferréol-les-Neiges,MÉ,3806.0,3240.0,83.18,17.469135802469136,2500 à 4999,2500 à 4999
211,Saint-Tite-des-Caps,MÉ,1504.0,1473.0,129.3,2.104548540393754,1000 à 2499,1000 à 2499
212,Grande-Vallée,MÉ,1077.0,1057.0,144.16,1.8921475875118259,1000 à 2499,1000 à 2499
213,Petite-Vallée,MÉ,157.0,170.0,39.9,-7.647058823529412,Moins de 1000,Moins de 1000
214,Colombier,MÉ,635.0,685.0,361.23,-7.299270072992701,Moins de 1000,Moins de 1000
215,Les Bergeronnes,MÉ,619.0,661.0,268.77,-6.354009077155824,Moins de 1000,Moins de 1000
216,Les Escoumins,MÉ,1794.0,1891.0,265.89,-5.129561078794289,1000 à 2499,1000 à 2499
217,Longue-Rive,MÉ,918.0,1026.0,308.06,-10.526315789473685,Moins de 1000,Moins de 1000
218,Portneuf-sur-Mer 3,MÉ,612.0,641.0,181.9,-4.5241809672386895,Moins de 1000,Moins de 1000
219,Sacré-Coeur,MÉ,1684.0,1803.0,303.15,-6.600110926234055,1000 à 2499,1000 à 2499
220,La Martre,MÉ,194.0,243.0,175.23,-20.16460905349794,Moins de 1000,Moins de 1000
221,Rivière-à-Claude,MÉ,141.0,128.0,155.95,10.15625,Moins de 1000,Moins de 1000
222,Saint-Maxime-du-Mont-Louis,MÉ,1047.0,1134.0,232.67,-7.671957671957672,1000 à 2499,1000 à 2499
223,Sainte-Madeleine-de-la-Rivière-Madeleine,MÉ,289.0,289.0,262.35,0.0,Moins de 1000,Moins de 1000
224,Roxton Pond,MÉ,4224.0,3809.0,97.64,10.895248096613285,2500 à 4999,2500 à 4999
225,Saint-Alphonse-de-Granby,MÉ,3341.0,3094.0,50.12,7.983193277310924,2500 à 4999,2500 à 4999
226,Saint-Joachim-de-Shefford,MÉ,1476.0,1301.0,126.91,13.45119139123751,1000 à 2499,1000 à 2499
227,Sainte-Cécile-de-Milton,MÉ,2195.0,2160.0,72.96,1.6203703703703705,1000 à 2499,1000 à 2499
228,Lac-Beauport,MÉ,8164.0,7801.0,61.73,4.653249583386745,5000 à 9999,5000 à 9999
229,Saint-Gabriel-de-Valcartier,MÉ,3223.0,3382.0,432.62,-4.701360141927854,2500 à 4999,2500 à 4999
230,Baie-des-Sables,MÉ,613.0,628.0,65.07,-2.388535031847134,Moins de 1000,Moins de 1000
231,Grosses-Roches 3,MÉ,375.0,394.0,63.59,-4.822335025380711,Moins de 1000,Moins de 1000
232,Les Méchins,MÉ,995.0,987.0,441.39,0.8105369807497467,Moins de 1000,Moins de 1000
233,Saint-René-de-Matane 3,MÉ,961.0,991.0,253.89,-3.027245206861756,Moins de 1000,Moins de 1000
